flash_diversity,pro_diversity,pro_minus_flash_diversity,sampling_method,task
0.059683406901085534,0.06925915342637867,0.009575746525293138,base,add_lemon_to_fish
0.05906907128191541,0.0883566923525142,0.02928762107059879,high_temperature,add_lemon_to_fish
0.05601889292399087,0.07996721048464717,0.023948317560656296,random,add_lemon_to_fish
0.08975047873354502,0.06489587433036714,-0.024854604403177882,verbalized,add_lemon_to_fish
0.046425568235331616,0.08929158435470752,0.042866016119375905,base,add_sugar_cubes
0.059929486252795705,0.10728914436252635,0.04735965810973064,high_temperature,add_sugar_cubes
0.051035348985386975,0.0852973361124938,0.03426198712710682,random,add_sugar_cubes
0.09602921995623359,0.11322521012404874,0.017195990167815145,verbalized,add_sugar_cubes
0.06128053254094612,0.04537929104662486,-0.01590124149432126,base,alcohol_serving_prep
0.062389200446249404,0.050065730632036565,-0.01232346981421284,high_temperature,alcohol_serving_prep
0.06797980467478437,0.04296032341047262,-0.02501948126431175,random,alcohol_serving_prep
0.0641357885009941,0.05312635761567919,-0.01100943088531492,verbalized,alcohol_serving_prep
0.0473818583049993,0.057565519042398705,0.010183660737399403,base,align_silverware
0.0565105705425657,0.056401885377949657,-0.00010868516461604028,high_temperature,align_silverware
0.05959018893625545,0.05367193016512639,-0.005918258771129059,random,align_silverware
0.06534205401080784,0.06608211267953634,0.0007400586687285049,verbalized,align_silverware
0.05143050955629902,0.045144410791068235,-0.006286098765230785,base,arrange_bread_bowl
0.05422543657237089,0.05941292883335858,0.005187492260987692,high_temperature,arrange_bread_bowl
0.05207969073591556,0.04467488513595752,-0.007404805599958042,random,arrange_bread_bowl
0.0629033809420706,0.05173568040475074,-0.011167700537319858,verbalized,arrange_bread_bowl
0.045429527211463316,0.053789218677871564,0.008359691466408248,base,arrange_drinkware
0.053248900380627906,0.04563092239971822,-0.007617977980909685,high_temperature,arrange_drinkware
0.057227168275021945,0.050489370165200054,-0.006737798109821891,random,arrange_drinkware
0.06540365232818424,0.0617690283676674,-0.0036346239605168362,verbalized,arrange_drinkware
0.04489203280416032,0.05160358527611042,0.0067115524719501,base,arrange_tea
0.04973704705293147,0.06587285981781177,0.016135812764880297,high_temperature,arrange_tea
0.04117242878880989,0.062207655385993044,0.021035226597183154,random,arrange_tea
0.05331072533267667,0.07145160655865723,0.018140881225980565,verbalized,arrange_tea
0.051402124043168684,0.057634585205165845,0.00623246116199716,base,beverage_organization
0.07211812844221621,0.06535183629770391,-0.006766292144512298,high_temperature,beverage_organization
0.057020488278619164,0.08160180168590325,0.02458131340728409,random,beverage_organization
0.08844822179311995,0.08493607208646581,-0.003512149706654144,verbalized,beverage_organization
0.06055615962236782,0.0482766958488815,-0.012279463773486321,base,bowl_and_cup
0.04857998524589102,0.06910127291734192,0.020521287671450894,high_temperature,bowl_and_cup
0.06874888710591986,0.05284277885809707,-0.015906108247822792,random,bowl_and_cup
0.06860315004984541,0.058628251497772954,-0.009974898552072453,verbalized,bowl_and_cup
0.09760919069421703,0.1041460009827011,0.006536810288484074,base,candle_cleanup
0.11336319610990331,0.10592709341268425,-0.00743610269721906,high_temperature,candle_cleanup
0.10111387173334763,0.10993283630787642,0.008818964574528798,random,candle_cleanup
0.13220346316523934,0.15041729595469333,0.018213832789453988,verbalized,candle_cleanup
0.050197061862068626,0.04570513073055227,-0.004491931131516358,base,cheese_mixing
0.05605428575099203,0.05388237758614556,-0.00217190816484647,high_temperature,cheese_mixing
0.048469115673810625,0.04926457103641557,0.0007954553626049465,random,cheese_mixing
0.050058356235767265,0.058229680856068944,0.008171324620301679,verbalized,cheese_mixing
0.07974194247147137,0.11955656237985901,0.03981461990838764,base,cluster_items_for_clearing
0.09262829388695204,0.12658523540387212,0.03395694151692008,high_temperature,cluster_items_for_clearing
0.0896503849961292,0.12458234545828284,0.03493196046215363,random,cluster_items_for_clearing
0.14613741115591994,0.13208817188767186,-0.014049239268248082,verbalized,cluster_items_for_clearing
0.056310192743937226,0.09969253814083401,0.04338234539689678,base,colorful_salsa
0.05949086238598,0.09001563732651463,0.030524774940534627,high_temperature,colorful_salsa
0.04745687808113541,0.11385012536213313,0.06639324728099771,random,colorful_salsa
0.08709056130770976,0.10837623977113042,0.021285678463420665,verbalized,colorful_salsa
0.07919102235772146,0.06904323977985605,-0.010147782577865416,high_temperature,condiment_collection
0.07397017917413817,0.06831125569069518,-0.00565892348344299,random,condiment_collection
0.07974660492491448,0.08563035808760544,0.005883753162690963,verbalized,condiment_collection
0.05215342935474443,0.06421056259637592,0.01205713324163149,high_temperature,cut_buffet_pizza
0.0509587829140411,0.05750772076091548,0.006548937846874381,random,cut_buffet_pizza
0.06652400397706304,0.06435046374112707,-0.002173540235935967,verbalized,cut_buffet_pizza
0.07567623798874601,0.05253764884225254,-0.02313858914649347,high_temperature,date_night
0.06577768983512089,0.0436988207115524,-0.02207886912356849,random,date_night
0.08331916085604962,0.05755983454057545,-0.025759326315474174,verbalized,date_night
0.06075392386008949,0.05797107493740383,-0.0027828489226856545,high_temperature,deliver_straw
0.051573117437033855,0.06524076105534349,0.013667643618309633,random,deliver_straw
0.07399454048310206,0.0561970853257453,-0.017797455157356756,verbalized,deliver_straw
0.058016116865750034,0.06677016389781032,0.008754047032060286,high_temperature,dessert_assembly
0.04143484008723297,0.07336232470369886,0.031927484616465884,random,dessert_assembly
0.08776910620174194,0.0768321631968707,-0.010936943004871247,verbalized,dessert_assembly
0.07757372842437915,0.06520351651071132,-0.012370211913667828,high_temperature,display_meat_variety
0.08100433500333759,0.055712285124022376,-0.025292049879315215,random,display_meat_variety
0.0936888737240057,0.06383165285505099,-0.029857220868954704,verbalized,display_meat_variety
0.051913597665984024,0.05370590412753751,0.0017923064615534834,high_temperature,distribute_chicken
0.04800917841922281,0.05374054415472618,0.005731365735503369,random,distribute_chicken
0.0741872925867979,0.06561703216070414,-0.008570260426093768,verbalized,distribute_chicken
0.07870878296336914,0.08282496764742098,0.004116184684051838,high_temperature,garnish_cake
0.06802752442743587,0.06711074250867999,-0.0009167819187558823,random,garnish_cake
0.08842442665977035,0.08476815388120451,-0.003656272778565839,verbalized,garnish_cake
0.06216131667981206,0.05920083358370021,-0.0029604830961118545,high_temperature,garnish_cupcake
0.052862227237087556,0.048835327433443654,-0.004026899803643902,random,garnish_cupcake
0.08196727201856413,0.06853213104708444,-0.013435140971479687,verbalized,garnish_cupcake
0.06627621527375849,0.07298879226048782,0.006712576986729335,high_temperature,garnish_pancake
0.06367182142433081,0.061827800602748506,-0.001844020821582304,random,garnish_pancake
0.08528335327389591,0.074423384803465,-0.010859968470430914,verbalized,garnish_pancake
0.054768285943173844,0.05520299851209265,0.0004347125689188047,high_temperature,gather_marinade_ingredients
0.04488588064566423,0.052685128409287074,0.007799247763622841,random,gather_marinade_ingredients
0.06560995523957003,0.05966195388772022,-0.005948001351849808,verbalized,gather_marinade_ingredients
0.06930441568637713,0.056528911919429436,-0.012775503766947693,high_temperature,hot_dog_setup
0.06498664494218498,0.056684298213871,-0.00830234672831398,random,hot_dog_setup
0.07009369655587205,0.056129744546166815,-0.013963952009705238,verbalized,hot_dog_setup
0.05910349289576211,0.07208007889232415,0.01297658599656204,high_temperature,lemon_seasoning_fish
0.05359199307430751,0.05328592829320622,-0.00030606478110128954,random,lemon_seasoning_fish
0.08821469175404517,0.05368914686400317,-0.034525544890042004,verbalized,lemon_seasoning_fish
0.05592165705801422,0.0659090856025959,0.009987428544581678,high_temperature,line_up_condiments
